sitename,lat,lon,timezone,standard_timezone
AliceSpringsMulga,-22.2828,133.2493,Australia/Darwin,Australia/Darwin
Calperum,-34.0027,140.5877,Australia/Adelaide,Australia/Darwin
CapeTribulation,-16.1056,145.3778,Australia/Brisbane,Australia/Brisbane
CowBay,-16.1032,145.4469,Australia/Brisbane,Australia/Brisbane
CumberlandPlain,-33.6152,150.7236,Australia/Sydney,Australia/Brisbane
DalyUncleared,-14.1592,131.3881,Australia/Darwin,Australia/Darwin
DryRiver,-15.2588,132.3706,Australia/Darwin,Australia/Darwin
Gingin,-31.3764,115.7139,Australia/Perth,Australia/Perth
GreatWesternWoodlands,-30.1913,120.6541,Australia/Perth,Australia/Perth
HowardSprings,-12.4943,131.1523,Australia/Darwin,Australia/Darwin
Litchfield,-13.179,130.7945,Australia/Darwin,Australia/Darwin
Ridgefield,-32.5061,116.9668,Australia/Perth,Australia/Perth
RiggsCreek,-36.6499,145.576,Australia/Melbourne,Australia/Brisbane
RobsonCreek,-17.1175,145.6301,Australia/Brisbane,Australia/Brisbane
Samford,-27.3881,152.877,Australia/Brisbane,Australia/Brisbane
SturtPlains,-17.1507,133.3502,Australia/Darwin,Australia/Darwin
TiTreeEast,-22.287,133.64,Australia/Darwin,Australia/Darwin
Tumbarumba,-35.6566,148.1517,Australia/Sydney,Australia/Brisbane
Warra,-43.0950,146.6545,Australia/Hobart,Australia/Brisbane
Whroo,-36.6732,145.0294,Australia/Melbourne,Australia/Brisbane
WombatStateForest,-37.4222,144.0944,Australia/Melbourne,Australia/Brisbane
Yanco,-34.9893,146.2907,Australia/Sydney,Australia/Brisbane
