time_x,LW_u,LW_d
78700.5416666667,-9999,-9999
78700.5625,-9999,-9999
78700.5833333333,-9999,-9999
78700.6041666667,-9999,-9999
78700.625,-9999,-9999
78700.6458333333,-9999,-9999
78700.6666666667,-9999,-9999
78700.6875,-9999,-9999
78700.7083333333,-9999,-9999
78700.7291666667,-9999,-9999
78700.75,-9999,-9999
78700.7708333333,-9999,-9999
78700.7916666667,-9999,-9999
78700.8125,-9999,-9999
78700.8333333333,-9999,-9999
78700.8541666667,-9999,-9999
78700.875,-9999,-9999
78700.8958333333,-9999,-9999
78700.9166666667,-9999,-9999
78700.9375,-9999,-9999
78700.9583333333,-9999,-9999
78700.9791666667,-9999,-9999
78701,-9999,-9999
78701.0208333333,-9999,-9999
78701.0416666667,-9999,-9999
78701.0625,-9999,-9999
78701.0833333333,-9999,-9999
78701.1041666667,-9999,-9999
78701.125,-9999,-9999
78701.1458333333,-9999,-9999
78701.1666666667,-9999,-9999
78701.1875,-9999,-9999
78701.2083333333,-9999,-9999
78701.2291666667,-9999,-9999
78701.25,-9999,-9999
78701.2708333333,-9999,-9999
78701.2916666667,-9999,-9999
78701.3125,-9999,-9999
78701.3333333333,-9999,-9999
78701.3541666667,-9999,-9999
78701.375,-9999,-9999
78701.3958333333,-9999,-9999
78701.4166666667,-9999,-9999
78701.4375,-9999,-9999
78701.4583333333,-9999,-9999
78701.4791666667,-9999,-9999
78701.5,-9999,-9999
78701.5208333333,-9999,-9999
78701.5416666667,-9999,-9999
78701.5625,-9999,-9999
78701.5833333333,-9999,-9999
78701.6041666667,-9999,-9999
78701.625,-9999,-9999
78701.6458333333,-9999,-9999
78701.6666666667,-9999,-9999
78701.6875,-9999,-9999
78701.7083333333,-9999,-9999
78701.7291666667,-9999,-9999
78701.75,-9999,-9999
78701.7708333333,-9999,-9999
78701.7916666667,-9999,-9999
78701.8125,-9999,-9999
78701.8333333333,-9999,-9999
78701.8541666667,-9999,-9999
78701.875,-9999,-9999
78701.8958333333,-9999,-9999
78701.9166666667,-9999,-9999
78701.9375,-9999,-9999
78701.9583333333,-9999,-9999
78701.9791666667,-9999,-9999
78702,-9999,-9999
78702.0208333333,-9999,-9999
78702.0416666667,-9999,-9999
78702.0625,-9999,-9999
78702.0833333333,-9999,-9999
78702.1041666667,-9999,-9999
78702.125,-9999,-9999
78702.1458333333,-9999,-9999
78702.1666666667,-9999,-9999
78702.1875,-9999,-9999
78702.2083333333,-9999,-9999
78702.2291666667,-9999,-9999
78702.25,-9999,-9999
78702.2708333333,-9999,-9999
78702.2916666667,-9999,-9999
78702.3125,-9999,-9999
78702.3333333333,-9999,-9999
78702.3541666667,-9999,-9999
78702.375,-9999,-9999
78702.3958333333,-9999,-9999
78702.4166666667,-9999,-9999
78702.4375,-9999,-9999
78702.4583333333,-9999,-9999
78702.4791666667,-9999,-9999
78702.5,-9999,-9999
78702.5208333333,-9999,-9999
78702.5416666667,-9999,-9999
78702.5625,-9999,-9999
78702.5833333333,-9999,-9999
78702.6041666667,-9999,-9999
78702.625,-9999,-9999
78702.6458333333,-9999,-9999
78702.6666666667,-9999,-9999
78702.6875,-9999,-9999
78702.7083333333,-9999,-9999
78702.7291666667,-9999,-9999
78702.75,-9999,-9999
78702.7708333333,-9999,-9999
78702.7916666667,-9999,-9999
78702.8125,-9999,-9999
78702.8333333333,-9999,-9999
78702.8541666667,-9999,-9999
78702.875,-9999,-9999
78702.8958333333,-9999,-9999
78702.9166666667,-9999,-9999
78702.9375,-9999,-9999
78702.9583333333,-9999,-9999
78702.9791666667,-9999,-9999
78703,-9999,-9999
78703.0208333333,-9999,-9999
78703.0416666667,-9999,-9999
78703.0625,-9999,-9999
78703.0833333333,-9999,-9999
78703.1041666667,-9999,-9999
78703.125,-9999,-9999
78703.1458333333,-9999,-9999
78703.1666666667,-9999,-9999
78703.1875,-9999,-9999
78703.2083333333,-9999,-9999
78703.2291666667,-9999,-9999
78703.25,-9999,-9999
78703.2708333333,-9999,-9999
78703.2916666667,-9999,-9999
78703.3125,-9999,-9999
78703.3333333333,-9999,-9999
78703.3541666667,-9999,-9999
78703.375,-9999,-9999
78703.3958333333,-9999,-9999
78703.4166666667,-9999,-9999
78703.4375,-9999,-9999
78703.4583333333,-9999,-9999
78703.4791666667,-9999,-9999
78703.5,-9999,-9999
78703.5208333333,-9999,-9999
78703.5416666667,-9999,-9999
78703.5625,-9999,-9999
78703.5833333333,-9999,-9999
78703.6041666667,-9999,-9999
78703.625,-9999,-9999
78703.6458333333,-9999,-9999
78703.6666666667,-9999,-9999
78703.6875,-9999,-9999
78703.7083333333,-9999,-9999
78703.7291666667,-9999,-9999
78703.75,-9999,-9999
78703.7708333333,-9999,-9999
78703.7916666667,-9999,-9999
78703.8125,-9999,-9999
78703.8333333333,-9999,-9999
78703.8541666667,-9999,-9999
78703.875,-9999,-9999
78703.8958333333,-9999,-9999
78703.9166666667,-9999,-9999
