time_x,LW_u,LW_d
78892,384.8749,316.4327667
78892.0208333333,383.4405,315.8667667
78892.0416666667,382.4807,315.5064333
78892.0625,381.4784,314.5641333
78892.0833333333,380.7240667,314.2283333
78892.1041666667,379.8581333,314.2038667
78892.125,378.9914,314.2115333
78892.1458333333,378.0640667,313.5215333
78892.1666666667,377.2494667,312.8993
78892.1875,376.8203333,313.2750667
78892.2083333333,376.2345667,312.6066333
78892.2291666667,377.0529,314.9154667
78892.25,382.0360667,318.7380667
78892.2708333333,391.8506667,321.4487333
78892.2916666667,403.3532667,319.9962333
78892.3125,415.1985172,323.1641379
78892.3333333333,422.7375667,335.2639667
78892.3541666667,428.7269,364.0776
78892.375,445.4658,366.3365
78892.3958333333,467.6107241,344.6493103
78892.4166666667,484.9576333,344.1109
78892.4375,497.9599,348.5988667
78892.4583333333,510.4935667,353.8868
78892.4791666667,525.4146,359.6156
78892.5,536.6622069,362.2664828
78892.5208333333,543.8553,365.5168333
78892.5416666667,548.3194333,370.1070667
78892.5625,553.3621667,370.6434333
78892.5833333333,554.4926207,368.654
78892.6041666667,552.7732333,375.1807
78892.625,548.6635333,378.2985667
78892.6458333333,534.3334,376.2472333
78892.6666666667,511.3184483,383.7593103
78892.6875,502.0859667,389.3869
78892.7083333333,492.6256897,389.2477931
78892.7291666667,481.1394667,388.8396667
78892.75,473.3509333,385.2894333
78892.7708333333,460.3632667,374.9481667
78892.7916666667,452.1716,369.7919
78892.8125,444.8249667,367.0942333
78892.8333333333,439.6646,365.1068333
78892.8541666667,434.4725,365.1206
78892.875,431.6867667,364.5669
78892.8958333333,429.2969,363.852
78892.9166666667,421.8644667,358.0069333
78892.9375,414.4976333,349.9457333
78892.9583333333,409.86,347.3195
78892.9791666667,405.7054,348.5870667
78893,405.3107,363.6075667
78893.0208333333,405.4921,369.5680333
78893.0416666667,403.0194667,362.4735333
78893.0625,402.1064667,359.0864667
78893.0833333333,404.8368,374.9106667
78893.1041666667,405.5696,372.9188333
78893.125,406.1247333,374.3001333
78893.1458333333,405.6808667,369.9545
78893.1666666667,402.9860667,359.706
78893.1875,398.6541333,348.4833667
78893.2083333333,397.7737667,351.3960667
78893.2291666667,397.4466897,351.2425172
78893.25,398.3689667,343.6584333
78893.2708333333,416.7665667,360.4703
78893.2916666667,420.7089333,384.9129667
78893.3125,421.2771333,368.0976333
78893.3333333333,457.631,382.1404828
78893.3541666667,455.0689333,387.9535667
78893.375,448.0096333,391.8909
78893.3958333333,434.5279667,369.5699
78893.4166666667,489.6473793,367.7018621
78893.4375,524.8602333,372.7953333
78893.4583333333,544.5664,377.2078333
78893.4791666667,559.8206,381.1760667
78893.5,577.3881034,385.9391724
78893.5208333333,590.6179333,390.1994667
78893.5416666667,602.2689,392.6767667
78893.5625,612.9378333,394.6004667
78893.5833333333,616.3952069,394.5199655
78893.6041666667,601.1884,401.0900667
78893.625,592.8259333,403.6075333
78893.6458333333,583.9961667,397.8747333
78893.6666666667,576.9328333,399.5541
78893.6875,561.095,401.0232
78893.7083333333,543.9281,401.8874667
78893.7291666667,525.7369667,400.7694667
78893.75,507.8041333,399.2024333
78893.7708333333,491.6291667,396.7353
78893.7916666667,478.1790333,395.5639667
78893.8125,466.1144333,393.4045
78893.8333333333,458.154,390.9348
78893.8541666667,452.2456667,387.6962667
78893.875,449.1561667,385.9211
78893.8958333333,447.0576333,385.2204333
78893.9166666667,445.1194667,384.1207333
78893.9375,443.6020333,381.4064333
78893.9583333333,438.3365,375.6586667
78893.9791666667,431.7476667,369.6651333
78894,425.7622333,364.2480333
78894.0208333333,420.3108333,360.2433
78894.0416666667,416.6652667,356.6670333
78894.0625,413.0899333,352.6625
78894.0833333333,410.0013333,349.8100667
78894.1041666667,406.8507667,347.5064
78894.125,404.672,345.8356
78894.1458333333,402.2634667,343.8515333
78894.1666666667,400.423,342.6898667
78894.1875,398.8661667,341.9352667
78894.2083333333,397.8392333,341.4464333
78894.2291666667,397.5905333,340.8947667
78894.25,401.9886207,341.6846552
78894.2708333333,412.0277,344.8495333
78894.2916666667,425.0806333,349.0050333
78894.3125,441.0602,353.7366333
78894.3333333333,458.1492759,359.3073793
78894.3541666667,475.2450667,364.0702667
78894.375,493.2599,368.9757667
78894.3958333333,513.0149667,374.9983667
78894.4166666667,529.4734828,379.6068621
78894.4375,548.1926333,383.8488
78894.4583333333,561.7824,388.2985333
78894.4791666667,573.5594333,391.8284
78894.5,588.4356,396.3193333
78894.5208333333,591.2495667,400.2065333
78894.5416666667,596.2916667,403.8203667
78894.5625,599.0447586,404.5654828
78894.5833333333,597.5741333,402.3595
78894.6041666667,593.8971667,409.1584333
78894.625,587.1853,412.1510333
78894.6458333333,578.3353333,407.8752333
78894.6666666667,557.2232414,409.4141724
78894.6875,541.9077667,409.2546667
78894.7083333333,542.8059333,410.0082
78894.7291666667,530.2097333,409.0939
78894.75,516.168931,410.7853793
78894.7708333333,500.9457667,444.7244
78894.7916666667,484.2338333,406.5177667
78894.8125,473.5131,403.7377
78894.8333333333,464.4709655,397.7678276
78894.8541666667,454.0594,388.0160333
78894.875,445.525,383.7746667
78894.8958333333,441.2358966,393.4174138
78894.9166666667,435.5045667,386.2457667
78894.9375,430.3604333,382.0781667
78894.9583333333,426.7365333,380.7532667
78894.9791666667,422.8163448,379.1442069
78895,419.7035333,377.7552
78895.0208333333,417.1800667,375.7557667
78895.0416666667,414.9063333,369.9234667
78895.0625,412.3874667,367.6061333
78895.0833333333,410.602,363.8257667
78895.1041666667,410.4088667,368.8281333
78895.125,411.6049667,374.5088667
78895.1458333333,411.9343667,378.3546333
78895.1666666667,413.2485,382.4540667
78895.1875,413.1669,383.0004667
78895.2083333333,413.3667,382.7005
78895.2291666667,413.5071333,381.6866667
78895.25,415.3012667,382.6964667
78895.2708333333,418.3963667,382.2376667
78895.2916666667,425.783,380.1907667
78895.3125,438.1255,384.6083333
78895.3333333333,449.5573667,386.6892
78895.3541666667,467.5118667,393.7416
78895.375,481.6996667,399.4063
78895.3958333333,492.5553103,401.9825172
78895.4166666667,511.6141333,403.5300333
78895.4375,546.5134333,402.4764667
78895.4583333333,575.2813667,407.2226333
78895.4791666667,607.441,414.2452333
78895.5,610.6918621,421.0544483
78895.5208333333,601.1065333,430.8272
78895.5416666667,593.0015,434.2453667
78895.5625,563.2404667,439.5370667
78895.5833333333,566.9383103,441.3408966
78895.6041666667,592.4983333,431.9570333
78895.625,549.4065333,442.2234
78895.6458333333,524.6366667,445.8642
78895.6666666667,534.0097931,446.5038276
78895.6875,540.2603333,441.5139667
78895.7083333333,532.7755,442.5738667
78895.7291666667,518.5698,439.3516
78895.75,514.3448276,427.2712414
78895.7708333333,497.7878,424.4709333
78895.7916666667,485.4748,427.1616
78895.8125,478.9291379,435.0275517
78895.8333333333,468.2977333,425.8046333
78895.8541666667,461.5671,426.9306333
78895.875,452.5256667,417.4567
78895.8958333333,459.1623333,420.6909333
78895.9166666667,457.113931,416.8777931
78895.9375,453.8665333,404.6296
78895.9583333333,447.5955333,398.3696333
78895.9791666667,445.5840667,396.4183
78896,447.9651034,401.4617241
78896.0208333333,447.1185667,402.2336333
78896.0416666667,441.4475333,393.1956
78896.0625,438.6730333,398.3592667
78896.0833333333,435.3655862,391.3002069
78896.1041666667,432.9308333,388.3107333
78896.125,424.8323,367.7783667
78896.1458333333,419.1748,362.4216667
78896.1666666667,416.1305,361.1344
78896.1875,412.3843333,357.6235
78896.2083333333,408.6252333,353.7507333
78896.2291666667,408.1135667,350.9025333
78896.25,412.4476667,350.2822333
78896.2708333333,420.9041667,352.9355667
78896.2916666667,434.2656667,355.4538
78896.3125,451.2821333,361.9003333
78896.3333333333,458.5116,363.0248333
78896.3541666667,488.5280667,369.1395667
78896.375,507.1034667,379.2238667
78896.3958333333,538.8266667,380.1011667
78896.4166666667,564.5889333,385.4767333
78896.4375,582.5444,391.4
78896.4583333333,599.5462333,397.2406667
78896.4791666667,612.8264667,403.6797667
78896.5,626.7640333,408.1523
78896.5208333333,643.4795,414.5269
78896.5416666667,646.6542333,418.0683667
78896.5625,624.8078667,414.7665
78896.5833333333,652.7368966,419.414
78896.6041666667,640.2655,433.4436333
78896.625,588.6384667,439.6493333
78896.6458333333,581.0052667,427.5579333
78896.6666666667,605.3679,424.007
78896.6875,575.811,421.9558
78896.7083333333,516.8398667,416.2461
78896.7291666667,503.3574828,417.4764138
78896.75,498.4538333,420.9822667
78896.7708333333,488.3567,410.8242
78896.7916666667,480.4455,403.3822
78896.8125,470.2879,397.6843
78896.8333333333,470.5792414,402.6552414
78896.8541666667,467.3132,398.0178667
78896.875,461.0876333,390.6422333
78896.8958333333,457.9358333,388.0999
78896.9166666667,455.544069,385.3790345
78896.9375,449.9114667,381.8017667
78896.9583333333,445.7382,379.2807667
78896.9791666667,442.1230667,377.1925333
78897,440.1076207,375.2565517
78897.0208333333,437.9532667,373.1146333
78897.0416666667,435.236,371.5372667
78897.0625,424.271,360.957
78897.0833333333,418.0734333,356.1252667
78897.1041666667,413.8203333,353.6800333
78897.125,411.7106333,353.1183333
78897.1458333333,410.4525172,352.625
78897.1666666667,408.5467,351.0025
78897.1875,406.6414333,349.6483667
78897.2083333333,405.6913667,348.6124
78897.2291666667,405.0757,347.0697
78897.25,409.7327,347.3271
78897.2708333333,420.8968,349.1605333
78897.2916666667,435.9892667,353.0572333
78897.3125,452.0118,359.0869
78897.3333333333,469.8432333,366.0187333
78897.3541666667,488.8566,371.0798667
78897.375,506.3326667,376.373
78897.3958333333,521.0652667,380.6583667
78897.4166666667,539.3021333,386.9295667
78897.4375,555.2802333,391.7161333
78897.4583333333,573.2945667,396.7231667
78897.4791666667,586.427,400.7576333
78897.5,597.2479,404.9273667
78897.5208333333,606.8949,411.4843
78897.5416666667,614.4562667,420.9193667
78897.5625,589.8251724,412.3526897
78897.5833333333,608.3059667,412.2183
78897.6041666667,599.1581,415.8623667
78897.625,589.7432667,420.2846667
78897.6458333333,584.7529333,414.9572333
