time_x,LW_u,LW_d
77066.0208333333,438.7573,421.7888
77066.0416666667,436.8175,421.9891
77066.0625,434.3435,415.3772
77066.0833333333,434.1939,415.9266
77066.1041666667,436.4126,407.084
77066.125,437.0749,414.4714
77066.1458333333,437.1305,417.3194
77066.1666666667,433.5039,416.1766
77066.1875,432.5137,414.2704
77066.2083333333,427.5805,404.8461
77066.2291666667,425.5809,401.1152
77066.25,433.1669,398.2363
77066.2708333333,443.0366,384.824
77066.2916666667,459.9994,392.8392
77066.3125,460.0693,401.5444
77066.3333333333,484.8862,380.7152
77066.3541666667,509.1511,385.0785
77066.375,512.8026,388.3701
77066.3958333333,516.0729,401.4216
77066.4166666667,539.3718,391.3033
77066.4375,541.624,402.1858
77066.4583333333,561.6914,404.6565
77066.4791666667,510.9107,427.5909
77066.5,507.5696,423.4238
77066.5208333333,508.0846,424.1186
77066.5416666667,541.9086,416.8258
77066.5625,524.5711,431.9122
77066.5833333333,531.6049,429.4005
77066.6041666667,527.2164,435.6119
77066.625,502.902,435.5704
77066.6458333333,494.1916,424.7228
77066.6666666667,495.6701,415.4727
77066.6875,509.8632,396.6541
77066.7083333333,489.5379,415.7707
77066.7291666667,478.0058,415.9269
77066.75,464.9439,407.2991
77066.7708333333,462.2907,403.3233
77066.7916666667,450.6447,388.9664
77066.8125,441.4659,381.8033
77066.8333333333,434.8549,391.9811
77066.8541666667,430.2927,389.8691
77066.875,428.1648,392.7594
77066.8958333333,427.4124,396.6562
77066.9166666667,425.4506,397.3645
77066.9375,422.6488,395.4924
77066.9583333333,418.4441,386.3982
77066.9791666667,416.8023,383.6792
77067,413.3125,377.4248
77067.0208333333,409.3061,365.4049
77067.0416666667,405.7591,355.1864
77067.0625,401.3248,353.6367
77067.0833333333,398.1441,353.9008
77067.1041666667,393.0776,332.5842
77067.125,390.1813,336.1588
77067.1458333333,389.2503,320.7834
77067.1666666667,386.7515,313.0032
77067.1875,384.4492,310.212
77067.2083333333,382.744,310.5949
77067.2291666667,383.4268,311.1603
77067.25,389.11,312.2569
77067.2708333333,398.422,315.0234
77067.2916666667,409.3069,316.624
77067.3125,419.9366,332.5301
77067.3333333333,433.2526,321.3255
77067.3541666667,444.6585,322.3191
77067.375,459.392,325.6706
77067.3958333333,470.4868,327.2385
77067.4166666667,478.6735,328.3204
77067.4375,489.5943,330.3796
77067.4583333333,501.6353,333.6125
77067.4791666667,511.3817,335.1476
